Image ID,Category,Bounding Boxes + Labels
1111,Musical,"{""boxes"":[{""x"":80,""y"":80,""width"":250,""height"":500,""label"":""Kora""},{""x"":10,""y"":200,""width"":150,""height"":40,""label"":""Microphone""}]}"
1148,Architecture,"{""boxes"":[{""x"":120,""y"":180,""width"":200,""height"":320,""label"":""Pillar""},{""x"":340,""y"":120,""width"":300,""height"":400,""label"":""Wall Relief""},{""x"":10,""y"":430,""width"":120,""height"":70,""label"":""Sculpture""},{""x"":150,""y"":320,""width"":80,""height"":70,""label"":""Sculpture""}]}"
1527,Clothing,"{""boxes"":[{""x"":90,""y"":20,""width"":120,""height"":70,""label"":""Sombrero""},{""x"":70,""y"":90,""width"":100,""height"":150,""label"":""Serape""}]}"
1336,Food,"{""boxes"":[{""x"":640,""y"":70,""width"":240,""height"":380,""label"":""bread""},{""x"":365,""y"":425,""width"":225,""height"":180,""label"":""bread""},{""x"":0,""y"":150,""width"":360,""height"":700,""label"":""baguettes""},{""x"":0,""y"":560,""width"":340,""height"":420,""label"":""pastries""}]}"
1486,Beverage,"{""boxes"":[{""x"":25,""y"":210,""width"":250,""height"":370,""label"":""Teapot""},{""x"":130,""y"":300,""width"":100,""height"":180,""label"":""Tea glass""},{""x"":260,""y"":360,""width"":90,""height"":160,""label"":""Tea glass""},{""x"":530,""y"":380,""width"":100,""height"":180,""label"":""Tea glass""},{""x"":660,""y"":370,""width"":80,""height"":160,""label"":""Tea glass""},{""x"":800,""y"":350,""width"":210,""height"":220,""label"":""Copper teapot""},{""x"":920,""y"":400,""width"":100,""height"":120,""label"":""Tea glass""},{""x"":1050,""y"":400,""width"":110,""height"":130,""label"":""Tea glass""}]}"
1232,Architecture,"{""boxes"":[{""x"":370,""y"":10,""width"":80,""height"":100,""label"":""Onion Dome""},{""x"":440,""y"":120,""width"":50,""height"":80,""label"":""Onion Dome""},{""x"":510,""y"":20,""width"":60,""height"":90,""label"":""Onion Dome""},{""x"":255,""y"":245,""width"":85,""height"":80,""label"":""Portal""},{""x"":350,""y"":260,""width"":90,""height"":85,""label"":""Portal""},{""x"":100,""y"":270,""width"":80,""height"":120,""label"":""Gable End""},{""x"":230,""y"":265,""width"":95,""height"":70,""label"":""Gable End""},{""x"":330,""y"":255,""width"":105,""height"":70,""label"":""Gable End""},{""x"":273,""y"":205,""width"":67,""height"":30,""label"":""Decorative Arch""},{""x"":357,""y"":220,""width"":65,""height"":30,""label"":""Decorative Arch""}]}"
1158,Architecture,"{""boxes"":[{""x"":330,""y"":200,""width"":490,""height"":360,""label"":""Mayan Pyramid""},{""x"":505,""y"":420,""width"":80,""height"":90,""label"":""Entrance""}]}"
1360,Clothing,"{""boxes"":[{""x"":150,""y"":50,""width"":180,""height"":300,""label"":""Kimono""},{""x"":210,""y"":140,""width"":60,""height"":40,""label"":""Obi""}]}"
1234,Buddhist,"{""boxes"":[]}"
1269,Food,"{""boxes"":[{""x"":135,""y"":250,""width"":205,""height"":85,""label"":""bread""},{""x"":305,""y"":177,""width"":159,""height"":68,""label"":""bread""}]}"
1143,Clothing,"{""boxes"":[{""x"":20,""y"":50,""width"":100,""height"":200,""label"":""white tracksuit top""},{""x"":30,""y"":250,""width"":100,""height"":150,""label"":""blue tracksuit pants""},{""x"":160,""y"":60,""width"":90,""height"":190,""label"":""white tracksuit top""},{""x"":170,""y"":260,""width"":90,""height"":140,""label"":""blue tracksuit pants""},{""x"":300,""y"":55,""width"":90,""height"":185,""label"":""white tracksuit top""},{""x"":310,""y"":255,""width"":90,""height"":145,""label"":""blue tracksuit pants""},{""x"":450,""y"":50,""width"":100,""height"":200,""label"":""white tracksuit top""},{""x"":460,""y"":250,""width"":100,""height"":150,""label"":""blue tracksuit pants""},{""x"":600,""y"":65,""width"":85,""height"":180,""label"":""white tracksuit top""},{""x"":610,""y"":265,""width"":85,""height"":135,""label"":""blue tracksuit pants""}]}"
1563,Musical,"{""boxes"":[{""x"":180,""y"":280,""width"":150,""height"":100,""label"":""guzheng""},{""x"":290,""y"":380,""width"":150,""height"":100,""label"":""guzheng""},{""x"":400,""y"":480,""width"":150,""height"":100,""label"":""guzheng""},{""x"":510,""y"":580,""width"":150,""height"":100,""label"":""guzheng""},{""x"":620,""y"":680,""width"":150,""height"":100,""label"":""guzheng""}]}"
1290,Musical,"{""boxes"":[{""x"":105,""y"":163,""width"":300,""height"":600,""label"":""Veena""},{""x"":670,""y"":163,""width"":300,""height"":600,""label"":""Veena""}]}"
1562,Beverage,"{""boxes"":[{""x"":10,""y"":10,""width"":180,""height"":180,""label"":""Bowl with matcha tea""},{""x"":430,""y"":225,""width"":140,""height"":140,""label"":""Matcha powder""}]}"
1145,Clothing,"{""boxes"":[{""x"":50,""y"":120,""width"":180,""height"":380,""label"":""grey blazer""},{""x"":270,""y"":120,""width"":180,""height"":380,""label"":""grey blazer""},{""x"":490,""y"":120,""width"":180,""height"":380,""label"":""grey blazer""},{""x"":50,""y"":300,""width"":100,""height"":150,""label"":""backpack""},{""x"":50,""y"":180,""width"":180,""height"":60,""label"":""striped tie""},{""x"":270,""y"":180,""width"":180,""height"":60,""label"":""striped tie""},{""x"":490,""y"":180,""width"":180,""height"":60,""label"":""striped tie""},{""x"":490,""y"":350,""width"":60,""height"":80,""label"":""school badge""},{""x"":480,""y"":310,""width"":170,""height"":40,""label"":""clipboard""},{""x"":450,""y"":400,""width"":200,""height"":160,""label"":""grey skirt""}]}"
1552,Beverage,"{""boxes"":[{""x"":150,""y"":140,""width"":100,""height"":100,""label"":""Teapot""},{""x"":300,""y"":370,""width"":80,""height"":50,""label"":""Cup of tea""},{""x"":400,""y"":380,""width"":80,""height"":50,""label"":""Cup of tea""},{""x"":550,""y"":30,""width"":50,""height"":200,""label"":""Champagne glasses""}]}"
1144,Architecture,"{""boxes"":[{""x"":493,""y"":170,""width"":159,""height"":170,""label"":""central_temple""},{""x"":430,""y"":340,""width"":289,""height"":60,""label"":""balustrade""},{""x"":540,""y"":400,""width"":70,""height"":110,""label"":""stairs""},{""x"":290,""y"":250,""width"":160,""height"":50,""label"":""side_stairs_left""},{""x"":700,""y"":250,""width"":160,""height"":50,""label"":""side_stairs_right""}]}"
1555,Beverage,"{""boxes"":[{""x"":341,""y"":92,""width"":87,""height"":94,""label"":""Tea Cup""},{""x"":241,""y"":94,""width"":71,""height"":75,""label"":""Tea Cup""}]}"
1142,Clothing,"{""boxes"":[{""x"":150,""y"":115,""width"":175,""height"":110,""label"":""Necktie""},{""x"":135,""y"":120,""width"":150,""height"":85,""label"":""Sailor collar""},{""x"":125,""y"":225,""width"":190,""height"":125,""label"":""Pleated skirt""},{""x"":270,""y"":150,""width"":70,""height"":110,""label"":""Bag""}]}"
1119,Musical,"{""boxes"":[{""x"":440,""y"":210,""width"":500,""height"":200,""label"":""kora""}]}"
1551,Beverage,"{""boxes"":[{""x"":85,""y"":250,""width"":250,""height"":250,""label"":""beverage in clay cup""},{""x"":270,""y"":40,""width"":250,""height"":250,""label"":""beverage in clay cup""},{""x"":360,""y"":250,""width"":250,""height"":250,""label"":""beverage in clay cup""},{""x"":198,""y"":438,""width"":250,""height"":250,""label"":""beverage in clay cup""}]}"
1564,Architecture,"{""boxes"":[{""x"":70,""y"":40,""width"":120,""height"":420,""label"":""Left Spire""},{""x"":190,""y"":40,""width"":120,""height"":420,""label"":""Right Spire""},{""x"":360,""y"":200,""width"":45,""height"":180,""label"":""Central Tower""},{""x"":10,""y"":200,""width"":170,""height"":250,""label"":""Left Tower""}]}"
