Image ID,Category,Bounding Boxes + Labels
1111,Musical,"{""boxes"":[{""x1"":250,""y1"":300,""x2"":700,""y2"":1200,""label"":""musical instrument""}]}"
1148,Architecture,"{""boxes"":[{""x1"":20,""y1"":100,""x2"":180,""y2"":350,""label"":""Pylon""},{""x1"":195,""y1"":80,""x2"":380,""y2"":300,""label"":""Gateway""},{""x1"":90,""y1"":360,""x2"":130,""y2"":470,""label"":""Sculpture""}]}"
1527,Clothing,"{""boxes"":[{""x1"":60,""y1"":40,""x2"":240,""y2"":130,""label"":""sombrero""},{""x1"":110,""y1"":130,""x2"":190,""y2"":290,""label"":""serape""}]}"
1336,Food,"{""boxes"":[{""x1"":10,""y1"":10,""x2"":220,""y2"":240,""label"":""Bread""},{""x1"":230,""y1"":10,""x2"":470,""y2"":240,""label"":""Bread""},{""x1"":480,""y1"":10,""x2"":730,""y2"":240,""label"":""Bread""},{""x1"":10,""y1"":250,""x2"":460,""y2"":570,""label"":""Baguette""},{""x1"":475,""y1"":290,""x2"":730,""y2"":570,""label"":""Bread""},{""x1"":10,""y1"":580,""x2"":890,""y2"":890,""label"":""Pastries""}]}"
1486,Beverage,"{""boxes"":[{""x1"":90,""y1"":75,""x2"":368,""y2"":500,""label"":""tea_glass""},{""x1"":665,""y1"":262,""x2"":967,""y2"":601,""label"":""tea_glass""},{""x1"":51,""y1"":169,""x2"":212,""y2"":394,""label"":""teapot""},{""x1"":821,""y1"":160,""x2"":924,""y2"":499,""label"":""teapot""}]}"
1232,Architecture,"{""boxes"":[{""x1"":260,""y1"":150,""x2"":340,""y2"":250,""label"":""Tower""},{""x1"":385,""y1"":75,""x2"":470,""y2"":170,""label"":""Onion Dome""},{""x1"":510,""y1"":90,""x2"":575,""y2"":175,""label"":""Onion Dome""},{""x1"":260,""y1"":270,""x2"":310,""y2"":320,""label"":""Entrance""},{""x1"":185,""y1"":230,""x2"":225,""y2"":280,""label"":""Entrance""},{""x1"":50,""y1"":150,""x2"":165,""y2"":270,""label"":""Roof""},{""x1"":385,""y1"":260,""x2"":575,""y2"":370,""label"":""Building Facade""}]}"
1158,Architecture,"{""boxes"":[{""x1"":530,""y1"":250,""x2"":980,""y2"":850,""label"":""Architectural Feature""}]}"
1360,Greeting,"{""boxes"":[{""x1"":220,""y1"":120,""x2"":420,""y2"":340,""label"":""bowing""}]}"
1234,Buddhist,"{""boxes"":[]}"
1269,Food,"{""boxes"":[{""x1"":87,""y1"":160,""x2"":272,""y2"":290,""label"":""bread""},{""x1"":284,""y1"":255,""x2"":487,""y2"":372,""label"":""bread""}]}"
1143,Clothing,"{""boxes"":[{""x1"":108,""y1"":73,""x2"":239,""y2"":480,""label"":""jacket pants set""},{""x1"":330,""y1"":71,""x2"":466,""y2"":481,""label"":""jacket pants set""},{""x1"":466,""y1"":93,""x2"":566,""y2"":493,""label"":""jacket pants set""},{""x1"":616,""y1"":67,""x2"":725,""y2"":493,""label"":""jacket pants set""}]}"
1563,Musical,"{""boxes"":[{""x1"":40,""y1"":310,""x2"":360,""y2"":490,""label"":""musical instrument""},{""x1"":390,""y1"":280,""x2"":680,""y2"":470,""label"":""musical instrument""},{""x1"":670,""y1"":250,""x2"":880,""y2"":400,""label"":""musical instrument""}]}"
1290,Musical,"{""boxes"":[{""x1"":50,""y1"":400,""x2"":450,""y2"":1000,""label"":""musical instrument""},{""x1"":850,""y1"":400,""x2"":1250,""y2"":1000,""label"":""musical instrument""},{""x1"":10,""y1"":100,""x2"":300,""y2"":600,""label"":""musical instrument""},{""x1"":1300,""y1"":100,""x2"":1590,""y2"":600,""label"":""musical instrument""},{""x1"":200,""y1"":100,""x2"":800,""y2"":600,""label"":""musical instruments""}]}"
1562,Beverage,"{""boxes"":[{""x1"":50,""y1"":50,""x2"":350,""y2"":350,""label"":""Beverage - Matcha Tea""},{""x1"":370,""y1"":100,""x2"":550,""y2"":400,""label"":""Tea whisk - Chasen""}]}"
1145,Clothing,"{""boxes"":[{""x1"":146,""y1"":450,""x2"":680,""y2"":1450,""label"":""gray blazer with maroon trim""},{""x1"":80,""y1"":400,""x2"":330,""y2"":750,""label"":""gray tie with maroon, gold stripes""},{""x1"":635,""y1"":550,""x2"":1150,""y2"":1450,""label"":""gray blazer with maroon trim""},{""x1"":600,""y1"":450,""x2"":880,""y2"":900,""label"":""gray tie with maroon, gold stripes""},{""x1"":1200,""y1"":400,""x2"":1610,""y2"":1450,""label"":""gray blazer with maroon trim""},{""x1"":1140,""y1"":350,""x2"":1440,""y2"":750,""label"":""gray tie with maroon, gold stripes""},{""x1"":126,""y1"":500,""x2"":400,""y2"":980,""label"":""backpack on shoulder""},{""x1"":1230,""y1"":850,""x2"":1640,""y2"":1450,""label"":""gray skater skirt with plaid pattern""},{""x1"":655,""y1"":800,""x2"":1050,""y2"":1450,""label"":""gray pants""}]}"
1552,Beverage,"{""boxes"":[{""x1"":57,""y1"":230,""x2"":117,""y2"":391,""label"":""Teacup 1""},{""x1"":124,""y1"":239,""x2"":185,""y2"":397,""label"":""Teacup 2""},{""x1"":314,""y1"":26,""x2"":450,""y2"":170,""label"":""Teapot""},{""x1"":202,""y1"":151,""x2"":262,""y2"":247,""label"":""Milk Jug""},{""x1"":499,""y1"":4,""x2"":556,""y2"":142,""label"":""Champagne Flute 1""},{""x1"":566,""y1"":6,""x2"":623,""y2"":145,""label"":""Champagne Flute 2""}]}"
1144,Architecture,"{""boxes"":[{""x1"":1070,""y1"":250,""x2"":1490,""y2"":850,""label"":""Main Building""},{""x1"":850,""y1"":670,""x2"":1720,""y2"":920,""label"":""Stairs and Lower Wall""},{""x1"":1150,""y1"":920,""x2"":1410,""y2"":1040,""label"":""Central Pathway""}]}"
1555,Beverage,"{""boxes"":[{""x1"":126,""y1"":84,""x2"":241,""y2"":209,""label"":""Cup1""},{""x1"":255,""y1"":50,""x2"":359,""y2"":199,""label"":""Cup2""}]}"
1142,Clothing,"{""boxes"":[{""x1"":150,""y1"":100,""x2"":300,""y2"":250,""label"":""shirt""},{""x1"":100,""y1"":250,""x2"":350,""y2"":450,""label"":""skirt""},{""x1"":200,""y1"":160,""x2"":260,""y2"":220,""label"":""scarf""},{""x1"":275,""y1"":180,""x2"":360,""y2"":350,""label"":""bag""}]}"
1119,Musical,"{""boxes"":[{""x1"":280,""y1"":350,""x2"":1120,""y2"":830,""label"":""Kora""}]}"
1551,Beverage,"{""boxes"":[{""x1"":250,""y1"":250,""x2"":450,""y2"":450,""label"":""beverage""},{""x1"":650,""y1"":200,""x2"":850,""y2"":400,""label"":""beverage""},{""x1"":450,""y1"":600,""x2"":650,""y2"":800,""label"":""beverage""},{""x1"":750,""y1"":600,""x2"":950,""y2"":800,""label"":""beverage""}]}"
1564,Architecture,"{""boxes"":[{""x1"":80,""y1"":10,""x2"":260,""y2"":220,""label"":""Left Spire""},{""x1"":260,""y1"":10,""x2"":440,""y2"":220,""label"":""Right Spire""},{""x1"":400,""y1"":90,""x2"":470,""y2"":260,""label"":""Main Tower""},{""x1"":120,""y1"":180,""x2"":520,""y2"":320,""label"":""Central Nave""},{""x1"":10,""y1"":190,""x2"":130,""y2"":400,""label"":""Front Tower""}]}"
